latin	shavian	part of speech	pronunciation	frequency
you	𐑿			1222421
to	𐑑			823661
the	𐑞			770161
and	𐑯			480214
that	𐑞𐑨𐑑			413389
it	𐑦𐑑			388320
of	𐑝			332038
me	𐑥𐑰			312326
what	𐑢𐑪𐑑			285826
is	𐑦𐑟			282222
in	𐑦𐑯			266544
this	𐑞𐑦𐑕			249860
know	𐑯𐑴			241548
for	𐑓			216535
no	𐑯𐑴			212463
have	𐑣𐑨𐑝			210523
my	𐑥𐑲			210429
don't	𐑛𐑴𐑯𐑑			206663
just	𐑡𐑳𐑕𐑑			196810
not	𐑯𐑪𐑑			195058
be	𐑚𐑰			191823
on	𐑪𐑯			191646
your	𐑘𐑹			188060
was	𐑢𐑪𐑟			184170
we	𐑢𐑰			181863
it's	𐑦𐑑'𐑕			176919
with	𐑢𐑦𐑞			169586
so	𐑕𐑴			169088
but	𐑚𐑳𐑑			159109
all	𐑷𐑤			158281
well	𐑢𐑧𐑤			155201
are	𐑸			152650
he	𐑣𐑰			150009
oh	𐑴			148780
about	𐑩𐑚𐑬𐑑			142750
right	𐑮𐑲𐑑			137218
you're	𐑿'𐑼			135738
get	𐑜𐑧𐑑			126849
here	𐑣𐑽			124368
out	𐑬𐑑			121867
going	𐑜𐑴𐑦𐑙			121435
like	𐑤𐑲𐑒			121194
yeah	𐑘𐑧𐑩			121148
if	𐑦𐑓			120553
her	𐑣𐑻			116265
she	𐑖𐑰			110122
can	𐑒𐑨𐑯			107652
up	𐑳𐑐			103826
want	𐑢𐑪𐑯𐑑			102822
think	𐑔𐑦𐑙𐑒			102403
that's	𐑞𐑨𐑑'𐑕			102146
now	𐑯𐑬			100909
go	𐑜𐑴			100905
him	𐑣𐑦𐑥			96536
at	𐑨𐑑			93433
how	𐑣𐑬			87908
got	𐑜𐑪𐑑			86085
there	𐑞𐑺			85662
one	𐑢𐑳𐑯			84057
did	𐑛𐑦𐑛			79053
why	𐑢𐑲			78554
see	𐑕𐑰			75968
come	𐑒𐑳𐑥			72807
good	𐑜𐑫𐑛			72798
they	𐑞𐑱			69192
really	𐑮𐑾𐑤𐑦			68311
as	𐑨𐑟			67977
would	𐑢𐑫𐑛			67718
look	𐑤𐑫𐑒			67262
when	𐑢𐑧𐑯			65117
time	𐑑𐑲𐑥			64891
will	𐑢𐑦𐑤			64811
okay	𐑴𐑒𐑱			63509
back	𐑚𐑨𐑒			63115
can't	𐑒𐑨𐑯𐑑			62602
mean	𐑥𐑰𐑯			61504
tell	𐑑𐑧𐑤			61352
from	𐑓𐑮𐑪𐑥			59972
hey	𐑣𐑱			58699
were	𐑢𐑻			58127
he's	𐑣𐑰'𐑟			57551
could	𐑒𐑫𐑛			57285
didn't	𐑛𐑦𐑛𐑩𐑯𐑑			56732
yes	𐑘𐑧𐑕			55828
his	𐑣𐑦𐑟			55502
been	𐑚𐑦𐑯			55235
or	𐑹			55062
something	𐑕𐑳𐑥𐑔𐑦𐑙			54736
because	𐑚𐑦𐑒𐑪𐑟			53566
some	𐑕𐑳𐑥			53265
had	𐑣𐑨𐑛			52561
then	𐑞𐑧𐑯			52197
say	𐑕𐑱			50213
